Model,Data,Test_Size,N_Estimators,Accuracy,Precision,Recall,F1_Score
NaiveBayes,original,0.2,N/A,0.6990011850347045,0.6942827990979156,0.6990011850347045,0.6954775415193009
NaiveBayes,original,0.3,N/A,0.7030474040632054,0.6982499657986792,0.7030474040632054,0.6994561757360738
NaiveBayes,original,0.4,N/A,0.7031236773046644,0.6980738446095994,0.7031236773046644,0.6993850065805374
NaiveBayes,pca,0.2,N/A,0.590316573556797,0.5889431018334634,0.590316573556797,0.5865458429175708
NaiveBayes,pca,0.3,N/A,0.5984198645598194,0.5968480292561338,0.5984198645598194,0.5943517579521724
NaiveBayes,pca,0.4,N/A,0.5991704054854821,0.5971977251312158,0.5991704054854821,0.5952057598051071
RandomForestClassifier,original,0.2,50,0.8178432368376503,0.8177077268180676,0.8178432368376503,0.8175579346844302
RandomForestClassifier,original,0.2,100,0.8197054342305738,0.819616546010063,0.8197054342305738,0.8194919494954752
RandomForestClassifier,original,0.3,50,0.8207674943566592,0.8204130459004376,0.8207674943566592,0.8204551295196043
RandomForestClassifier,original,0.3,100,0.8248306997742664,0.8242974506123071,0.8248306997742664,0.8244448976583931
RandomForestClassifier,original,0.4,50,0.8230762719038348,0.8224649345929086,0.8230762719038348,0.8226529447755665
RandomForestClassifier,original,0.4,100,0.8236688394142047,0.8231021610029593,0.8236688394142047,0.8232861003182081
RandomForestClassifier,pca,0.2,50,0.6890130353817505,0.6866983266838627,0.6890130353817505,0.6877237066481606
RandomForestClassifier,pca,0.2,100,0.6873201286609107,0.6850581721144364,0.6873201286609107,0.6860650239837077
RandomForestClassifier,pca,0.3,50,0.6844243792325057,0.6821326964256833,0.6844243792325057,0.6830643446450323
RandomForestClassifier,pca,0.3,100,0.6871331828442437,0.6850266514319026,0.6871331828442437,0.6858483300977386
RandomForestClassifier,pca,0.4,50,0.6869550495217134,0.6845528064492454,0.6869550495217134,0.685511766178966
RandomForestClassifier,pca,0.4,100,0.6890713620587489,0.6869098934169903,0.6890713620587489,0.6877693396513133
