Model,Data,Test_Size,MSE,RMSE,R2,MAE
RandomForest,original,0.2,0.005918787382087014,0.07693365571768324,0.9153686296420463,0.045064064691515
RandomForest,original,0.2,0.005854865652186926,0.07651709385612424,0.9162826316576396,0.04473342921680271
RandomForest,original,0.3,0.005836081563346231,0.07639425085270639,0.9171297539584558,0.04478574344197107
RandomForest,original,0.3,0.0057807000873894,0.07603091533967876,0.9179161508737269,0.04455275391912818
RandomForest,original,0.4,0.005878233994771956,0.0766696419371576,0.9166436371048667,0.04475789134291392
RandomForest,original,0.4,0.005843616203029414,0.0764435491263286,0.917134535087779,0.04462587980342177
RandomForest,pca,0.2,0.007043182685936063,0.08392367178535544,0.8992911615314688,0.05054356455546732
RandomForest,pca,0.2,0.0069605036901883984,0.0834296331658506,0.9004733693484147,0.0502245480591615
RandomForest,pca,0.3,0.006749852659362744,0.08215748693431868,0.9041545351013152,0.04986712695457488
RandomForest,pca,0.3,0.006694464574834429,0.08181970774107195,0.9049410258559097,0.04952649457164048
RandomForest,pca,0.4,0.00707439539730687,0.08410942513955776,0.8996814569603657,0.051120917537348105
RandomForest,pca,0.4,0.006985043900947124,0.08357657507308566,0.9009485068536518,0.05076009319180154
RandomForest,tsne,0.2,0.008520906044847877,0.0923087538906678,0.8781615373700806,0.05455368597727345
RandomForest,tsne,0.2,0.008427788761183663,0.09180298884668006,0.879492999849095,0.054272463934514
RandomForest,tsne,0.3,0.00818620756830377,0.0904776633667325,0.8837588152308968,0.053722576098064474
RandomForest,tsne,0.3,0.008192802404320331,0.0905141005828392,0.8836651709462233,0.053674677978236586
RandomForest,tsne,0.4,0.008314457336006588,0.09118364620921116,0.8820967447718701,0.054539374151303374
RandomForest,tsne,0.4,0.008267089537336486,0.09092353676214145,0.8827684443705931,0.05435048011196017
MLP,original,0.2,0.015143052250077942,0.12305710970958948,0.7834730020536242,0.08989559846608529
MLP,original,0.2,0.015276300779102137,0.12359733322002597,0.7815677121890772,0.09047643461749644
MLP,original,0.3,0.015438232390332898,0.1242506836614306,0.7807826873653435,0.09163464114413104
MLP,original,0.3,0.015731617559515302,0.12542574520215258,0.7766167241430705,0.09210050206937023
MLP,original,0.4,0.015439492837382832,0.12425575575152578,0.7810600991702064,0.09049607575815853
MLP,original,0.4,0.01567854952960435,0.12521401490889247,0.7776701530729517,0.09148070876521049
MLP,pca,0.2,0.007927387926299193,0.08903587999396194,0.8866481155257802,0.05748150033488558
MLP,pca,0.2,0.007381988165041869,0.08591849722290229,0.8944466604317525,0.05582532471805552
MLP,pca,0.3,0.007463361424032019,0.08639074848635135,0.8940229688716208,0.05611304092755487
MLP,pca,0.3,0.007019634834579908,0.08378326106436719,0.9003237258511013,0.054715121049908194
MLP,pca,0.4,0.007942027158255462,0.08911805180913383,0.8873779950721018,0.057740661268581545
MLP,pca,0.4,0.0074113682098850935,0.08608930369032551,0.8949030102234637,0.055927673463794
MLP,tsne,0.2,0.03912356849642852,0.19779678585970126,0.44058115262479736,0.15439167661832015
MLP,tsne,0.2,0.03566468282050604,0.18885095398357415,0.490038958044663,0.14175638455633066
MLP,tsne,0.3,0.038890964622763036,0.19720792231237322,0.4477623775303351,0.15133514808410795
MLP,tsne,0.3,0.038177070186446525,0.1953895344854645,0.45789942015784046,0.14992812650967172
MLP,tsne,0.4,0.0366445849731604,0.1914277539260188,0.48036105301677334,0.146731143798438
MLP,tsne,0.4,0.0349302849049733,0.1868964550358655,0.5046707043035454,0.14281084320339352
